gen#;sumfit;avgfit;minfit;maxfit
103;0.00193919;0.000193919;1.73262e-005;0.001345
104;0.000627093;6.27093e-005;1.73262e-005;0.000133752
105;0.000683968;6.83968e-005;8.38709e-006;0.000185781
1;89.359;8.9359;5.34801;12.3745
2;106.37;10.637;3.17116;20.296
3;72.5645;7.25645;3.17116;16.5804
4;77.2111;7.72111;2.86678;25.5941
5;53.3373;5.33373;2.86678;13.9286
6;52.7198;5.27198;1.80118;12.3162
7;39.1624;3.91624;1.80118;7.96355
8;47.9753;4.79753;1.69668;9.48538
9;49.031;4.9031;1.5754;10.5728
10;52.2746;5.22746;1.31434;24.5148
11;55.3884;5.53884;1.14385;24.0499
12;58.6231;5.86231;1.14385;24.5148
13;45.4574;4.54574;1.14385;24.0499
14;39.1839;3.91839;1.1257;16.2518
15;20.5378;2.05378;1.1257;3.87155
16;19.3409;1.93409;1.1257;3.39335
17;18.8816;1.88816;0.9345;4.65227
18;17.5664;1.75664;0.9345;2.66853
19;14.7937;1.47937;0.9345;2.14664
20;15.0704;1.50704;0.9345;2.35271
21;16.182;1.6182;0.9345;2.11454
22;14.8572;1.48572;0.9345;1.84236
23;12.2305;1.22305;0.9345;1.79244
24;11.2567;1.12567;0.9345;1.40122
25;11.1829;1.11829;0.9345;1.26567
26;10.7853;1.07853;0.9345;1.26567
27;10.3581;1.03581;0.6501;1.22493
28;10.3398;1.03398;0.6501;1.3019
29;9.69287;0.969287;0.448247;1.127
30;9.61043;0.961043;0.448247;1.12234
31;9.72883;0.972883;0.252603;1.11608
32;9.31403;0.931403;0.252603;1.04716
33;9.18187;0.918187;0.183005;1.05832
34;9.10027;0.910027;0.183005;1.15323
35;8.87224;0.887224;0.183005;1.41208
36;8.47122;0.847122;0.183005;1.07756
37;8.11973;0.811973;0.183005;1.08907
38;8.42618;0.842618;0.183005;1.06107
39;8.12519;0.812519;0.183005;1.03795
40;8.02754;0.802754;0.183005;1.07824
41;9.03356;0.903356;0.183005;1.05805
42;9.35374;0.935374;0.183005;1.05679
43;8.67039;0.867039;0.183005;1.05679
44;8.79381;0.879381;0.183005;1.0521
45;8.38726;0.838726;0.183005;1.01827
46;7.27068;0.727068;0.183005;1.04423
47;8.10894;0.810894;0.183005;1.02794
48;8.50241;0.850241;0.183005;1.07785
49;8.08402;0.808402;0.183005;1.04034
50;7.88126;0.788126;0.183005;1.03302
51;7.84101;0.784101;0.183005;1.03302
52;7.43157;0.743157;0.144326;1.05129
53;5.84181;0.584181;0.144326;1.04154
54;5.76309;0.576309;0.0501115;1.03741
55;3.81853;0.381853;0.0501115;0.739533
56;3.32567;0.332567;0.0501115;0.736923
57;3.48707;0.348707;0.0183664;0.762639
58;2.35294;0.235294;0.0183664;0.450824
59;1.53436;0.153436;0.0183664;0.41918
60;1.1697;0.11697;0.0162876;0.244353
61;1.1836;0.11836;0.00662013;0.362946
62;0.822072;0.0822072;0.00552258;0.324472
63;0.454564;0.0454564;0.00552258;0.216871
64;0.289376;0.0289376;0.00552258;0.0656775
65;0.228367;0.0228367;0.00552258;0.0411541
66;0.232574;0.0232574;0.00417799;0.0464991
67;0.162209;0.0162209;0.00256051;0.0286557
68;0.163365;0.0163365;0.00256051;0.0685929
69;0.0860783;0.00860783;0.00173363;0.0230091
70;0.0652238;0.00652238;0.00173363;0.0173793
71;0.0411166;0.00411166;0.00112004;0.00958676
72;0.0329591;0.00329591;0.00112004;0.00658661
73;0.0391794;0.00391794;0.000833828;0.00995252
74;0.0584906;0.00584906;0.000133224;0.0185307
75;0.0278759;0.00278759;0.000133224;0.00708483
76;0.0292214;0.00292214;0.000133224;0.00644067
77;0.0223582;0.00223582;0.000133224;0.00419507
78;0.0160326;0.00160326;0.000133224;0.00719232
79;0.0110053;0.00110053;0.000133224;0.00444941
80;0.0133011;0.00133011;3.05215e-005;0.00444941
81;0.00700162;0.000700162;3.05215e-005;0.00179542
82;0.00230607;0.000230607;3.05215e-005;0.000499477
83;0.00180289;0.000180289;3.05215e-005;0.000427944
84;0.00181096;0.000181096;2.4531e-005;0.000485658
85;0.00173753;0.000173753;1.42102e-005;0.000652151
86;0.000852867;8.52867e-005;1.42102e-005;0.000234717
87;0.000791042;7.91042e-005;8.8887e-006;0.000203254
1;103.977;10.3977;7.05022;13.2911
2;128.09;12.809;3.76865;25.1292
3;118.731;11.8731;3.76865;16.7769
4;212.968;21.2968;2.73865;60.9702
5;233.701;23.3701;2.73865;60.9702
6;291.834;29.1834;1.31547;60.9702
7;353.238;35.3238;1.06175;124.923
8;443.638;44.3638;1.06175;296.245
9;396.75;39.675;1.06175;93.2452
10;235.959;23.5959;1.02839;60.9702
11;254.277;25.4277;1.02839;109.286
12;122.414;12.2414;1.02839;60.9702
13;62.0828;6.20828;1.02839;23.5061
14;69.4344;6.94344;1.02839;23.5061
15;46.6272;4.66272;1.02839;23.5061
16;42.528;4.2528;1.01685;23.5061
17;22.0775;2.20775;1.01685;6.40518
18;15.8019;1.58019;0.998446;4.43567
19;14.6976;1.46976;0.998446;2.61209
20;12.0791;1.20791;0.998446;1.66466
21;11.2857;1.12857;0.998446;1.36679
22;11.1017;1.11017;0.998446;1.36679
23;10.6794;1.06794;0.998446;1.31944
24;10.7941;1.07941;0.996756;1.17048
25;9.16025;0.916025;0.132237;1.20298
26;9.32893;0.932893;0.132237;1.09006
27;9.08411;0.908411;0.132237;1.20913
28;9.48314;0.948314;0.132237;1.36138
29;8.66778;0.866778;0.132237;1.06146
30;7.8919;0.78919;0.132237;1.07304
31;8.15039;0.815039;0.00104123;1.07503
32;5.61294;0.561294;0.00104123;1.03745
33;6.62057;0.662057;0.00104123;1.00124
34;5.20395;0.520395;0.00104123;0.99933
35;2.6872;0.26872;0.00104123;0.787581
36;1.64064;0.164064;0.00104123;0.428466
37;0.926607;0.0926607;0.00104123;0.255075
38;0.781977;0.0781977;0.00104123;0.255075
39;0.738712;0.0738712;0.00104123;0.255075
40;1.31862;0.131862;0.00104123;0.723158
41;1.11241;0.111241;0.00104123;0.692234
42;0.388377;0.0388377;0.00104123;0.192275
43;0.213109;0.0213109;0.00104123;0.0501223
44;0.123672;0.0123672;0.00104123;0.0277425
45;0.173134;0.0173134;0.00104123;0.0646354
46;0.091588;0.0091588;0.000695683;0.0228517
47;0.117912;0.0117912;0.000695683;0.0228517
48;0.106386;0.0106386;0.000695683;0.0378037
49;0.114116;0.0114116;0.000409817;0.0378037
50;0.0797508;0.00797508;0.000409817;0.0192993
51;0.0654541;0.00654541;0.000408991;0.0192993
52;0.0771578;0.00771578;0.000408991;0.0365641
53;0.0618752;0.00618752;0.000408991;0.0255239
54;0.0619647;0.00619647;0.000135742;0.0260551
55;0.0498017;0.00498017;0.000112116;0.013904
56;0.0399474;0.00399474;0.000112116;0.0111056
57;0.0300527;0.00300527;0.000112116;0.00625229
58;0.0273522;0.00273522;0.000112116;0.00850347
59;0.0160213;0.00160213;0.000112116;0.00364252
60;0.00941443;0.000941443;0.000112116;0.00364252
61;0.00471101;0.000471101;0.000112116;0.0011481
62;0.00426995;0.000426995;6.24931e-006;0.000948932
1;99.8164;9.98164;7.3269;13.2961
2;127.036;12.7036;4.00593;26.0458
3;156.39;15.639;2.7535;48.4775
4;121.189;12.1189;2.7535;23.6475
5;136.826;13.6826;2.4214;29.9746
6;88.7917;8.87917;2.4214;20.2888
7;49.4492;4.94492;2.4214;8.6546
8;52.0066;5.20066;1.75557;12.3022
9;97.2567;9.72567;1.47489;31.5964
10;52.5419;5.25419;1.47489;14.5961
11;53.859;5.3859;1.47489;10.2532
12;38.7875;3.87875;1.47489;7.61874
13;34.4616;3.44616;1.24133;6.53278
14;39.8923;3.98923;1.14622;15.6987
15;27.5212;2.75212;1.14622;6.26701
